NETFLOW_DATETIME,SOURCE_ADDRESS,SOURCE_PORT,IN_BYTES
1694086979,130.201.154.51,25467,0
1694086979,130.201.154.51,24894,0
1694086979,130.201.154.51,25225,195
1694086979,130.201.154.51,24269,202
1694086979,130.201.154.51,24711,376
1694086979,130.201.154.51,24683,349
1694086979,130.201.154.51,24493,205
1694086979,130.201.154.51,25242,104
1694086979,130.201.154.51,25267,92
1694086986,130.201.154.51,24593,0
1694086994,130.201.154.51,25431,0
1694086994,130.201.154.51,24467,0
1694086996,130.201.154.51,25199,0
1694087001,130.201.154.51,24718,0
1694087001,130.201.154.51,24260,0
1694087009,130.201.154.51,24630,0
1694087016,130.201.154.51,24676,0
1694087031,130.201.154.51,24404,0
1694087033,130.201.154.51,24694,381
1694087033,130.201.154.51,24253,340
1694087038,130.201.154.51,25185,140
1694087038,130.201.154.51,24774,144
1694087039,130.201.154.51,24874,0
1694087046,130.201.154.51,24805,0
1694087054,130.201.154.51,25037,0
1694086789,130.201.154.51,25450,10458
1694086793,130.201.154.51,25447,1240
1694086806,130.201.154.51,25183,5506
1694086864,130.201.154.51,24876,8215
1694086865,130.201.154.51,24836,705550
1694086913,130.201.154.51,25210,6888
1694086913,130.201.154.51,25236,1166
1694086916,130.201.154.51,24684,983
1694086935,130.201.154.51,25326,9872
1694086941,130.201.154.51,24570,7593
1694086942,130.201.154.51,24432,7166
1694086950,130.201.154.51,25301,18140
1694086951,130.201.154.51,25202,4404
1694086952,130.201.154.51,24388,8282
1694086978,130.201.154.51,24743,9556
1694087022,130.201.154.51,24994,511
1694087038,130.201.154.51,24830,7232
1694087038,130.201.154.51,24924,8126
1694087038,130.201.154.51,25398,6451
1694086979,116.103.252.216,30843,94
1694087047,116.103.252.216,31533,94
1694086979,220.16.226.27,43737,0
1694086979,220.16.226.27,44635,8883
1694086979,220.16.226.27,44074,137
1694086979,220.16.226.27,44337,16330
1694086980,220.16.226.27,43755,254
1694086980,220.16.226.27,43674,225
1694086980,220.16.226.27,43648,18474
1694086980,220.16.226.27,44094,196
1694086980,220.16.226.27,44608,182
